date	 Time	 Sec since start	 Connected	 Data changed	 BaroSensor.Altitude	 BaroSensor.Pressure	 BaroSensor.Temperature
12/08/13	 18:31:59.508	0.345	1	1	-158.2246399	103.2400055	-14.78999996
12/08/13	 18:32:00.480	1.317	1	1	-156.67099	103.2210083	-14.09000015
12/08/13	 18:32:01.489	2.326	1	1	-155.9311523	103.2120056	-13.84000015
12/08/13	 18:32:02.484	3.321	1	1	-155.767334	103.2100067	-13.60999966
12/08/13	 18:32:03.480	4.317	1	1	-154.3722076	103.1930084	-13.40999985
12/08/13	 18:32:04.480	5.317	1	1	-154.3722076	103.1930084	-13.18999958
12/08/13	 18:32:05.480	6.317	1	1	-153.7961884	103.1860046	-12.98999977
12/08/13	 18:32:06.480	7.317	1	1	-153.4685516	103.1820068	-12.77999973
12/08/13	 18:32:07.480	8.317	1	1	-152.6494446	103.1720047	-12.59000015
12/08/13	 18:32:08.484	9.321	1	1	-151.3336029	103.1560059	-12.38999939
12/08/13	 18:32:09.484	10.321	1	1	-151.0904999	103.1530075	-12.19999981
12/08/13	 18:32:10.484	11.321	1	1	-150.5990448	103.1470032	-12
12/08/13	 18:32:11.484	12.321	1	1	-149.8592072	103.1380081	-11.80999947
12/08/13	 18:32:12.484	13.321	1	1	-149.2039185	103.1300049	-11.61999989
12/08/13	 18:32:13.484	14.321	1	1	-148.5433502	103.1220016	-11.42999935
12/08/13	 18:32:14.484	15.321	1	1	-147.8880768	103.114006	-11.23999977
12/08/13	 18:32:15.484	16.321	1	1	-147.7242432	103.1120071	-11.05999947
12/08/13	 18:32:16.484	17.321	1	1	-146.9844055	103.1030045	-10.88999939
12/08/13	 18:32:17.484	18.321	1	1	-146.7413177	103.1000061	-10.69999981
12/08/13	 18:32:18.488	19.325	1	1	-145.6738434	103.0870056	-10.52999973
12/08/13	 18:32:19.487	20.324	1	1	-145.5892944	103.0860062	-10.34999943
12/08/13	 18:32:20.488	21.325	1	1	-144.8494568	103.0770035	-10.17999935
12/08/13	 18:32:21.488	22.325	1	1	-144.3579865	103.0710068	-10
12/08/13	 18:32:22.488	23.325	1	1	-144.1148987	103.0680084	-9.840000153
12/08/13	 18:32:23.487	24.324	1	1	-143.6181488	103.0620041	-9.670000076
12/08/13	 18:32:24.487	25.324	1	1	-143.5388947	103.0610046	-9.510000229
12/08/13	 18:32:25.488	26.325	1	1	-142.2230377	103.0450058	-9.349999428
12/08/13	 18:32:26.488	27.325	1	1	-142.2230377	103.0450058	-9.179999352
12/08/13	 18:32:27.488	28.325	1	1	-141.6470184	103.038002	-9.029999733
12/08/13	 18:32:28.488	29.325	1	1	-140.9917297	103.0300064	-8.869999886
12/08/13	 18:32:29.501	30.338	1	1	-141.0762939	103.0310059	-8.710000038
12/08/13	 18:32:30.510	31.347	1	1	-140.748642	103.0270081	-8.550000191
12/08/13	 18:32:31.508	32.345	1	1	-139.844986	103.0160065	-8.409999847
12/08/13	 18:32:32.505	33.342	1	1	-139.5120544	103.0120087	-8.269999504
12/08/13	 18:32:33.514	34.351	1	1	-139.2689667	103.0090027	-8.109999657
12/08/13	 18:32:34.508	35.345	1	1	-138.6929626	103.0020065	-7.960000038
12/08/13	 18:32:35.505	36.342	1	1	-138.2807617	102.9970016	-7.819999695
12/08/13	 18:32:36.503	37.34	1	1	-138.2014923	102.9960022	-7.669999599
12/08/13	 18:32:37.510	38.347	1	1	-137.5409241	102.9880066	-7.509999752
12/08/13	 18:32:38.510	39.347	1	1	-137.5409241	102.9880066	-7.379999638
12/08/13	 18:32:39.503	40.34	1	1	-137.2132874	102.9840012	-7.25
12/08/13	 18:32:40.509	41.346	1	1	-136.8856354	102.9800034	-7.119999886
12/08/13	 18:32:41.508	42.345	1	1	-136.5579987	102.9760056	-6.96999979
12/08/13	 18:32:42.510	43.347	1	1	-136.4734497	102.9750061	-6.839999676
12/08/13	 18:32:43.508	44.345	1	1	-135.818161	102.9670029	-6.699999809
12/08/13	 18:32:44.498	45.335	1	1	-135.818161	102.9670029	-6.569999695
12/08/13	 18:32:45.505	46.342	1	1	-135.5697937	102.9640045	-6.440000057
12/08/13	 18:32:46.509	47.346	1	1	-134.9937744	102.9570084	-6.299999714
12/08/13	 18:32:47.498	48.335	1	1	-134.7454071	102.9540024	-6.179999828
12/08/13	 18:32:48.511	49.348	1	1	-134.9937744	102.9570084	-6.049999714
12/08/13	 18:32:49.509	50.346	1	1	-134.010849	102.9450073	-5.920000076
12/08/13	 18:32:50.505	51.342	1	1	-133.9263	102.9440079	-5.789999962
12/08/13	 18:32:51.504	52.341	1	1	-133.6779175	102.9410019	-5.670000076
12/08/13	 18:32:52.509	53.346	1	1	-133.5986481	102.9400024	-5.539999962
12/08/13	 18:32:53.520	54.357	1	1	-133.022644	102.9330063	-5.420000076
12/08/13	 18:32:54.510	55.347	1	1	-132.9380798	102.9320068	-5.289999962
12/08/13	 18:32:55.509	56.346	1	1	-133.1864624	102.9350052	-5.179999828
12/08/13	 18:32:56.506	57.343	1	1	-132.0344238	102.9210052	-5.059999943
12/08/13	 18:32:57.514	58.351	1	1	-131.9551544	102.9200058	-4.940000057
12/08/13	 18:32:58.509	59.346	1	1	-131.5429688	102.9150085	-4.819999695
12/08/13	 18:32:59.504	60.341	1	1	-130.9669495	102.9080048	-4.710000038
12/08/13	 18:33:00.504	61.341	1	1	-131.0462189	102.9090042	-4.589999676
12/08/13	 18:33:01.513	62.35	1	1	-131.1307678	102.9100037	-4.46999979
12/08/13	 18:33:02.506	63.343	1	1	-130.8031311	102.9060059	-4.380000114
12/08/13	 18:33:03.503	64.34	1	1	-130.8824005	102.9070053	-4.259999752
12/08/13	 18:33:04.509	65.346	1	1	-129.8149109	102.8940048	-4.130000114
12/08/13	 18:33:05.503	66.34	1	1	-130.3909302	102.9010086	-4.029999733
12/08/13	 18:33:06.503	67.34	1	1	-129.4872742	102.890007	-3.919999838
12/08/13	 18:33:07.509	68.346	1	1	-130.1425629	102.8980026	-3.799999952
12/08/13	 18:33:08.506	69.343	1	1	-129.4872742	102.890007	-3.689999819
12/08/13	 18:33:09.518	70.355	1	1	-129.4027252	102.8890076	-3.589999914
12/08/13	 18:33:10.509	71.346	1	1	-128.9958191	102.8840027	-3.480000019
