date, Time, Sec since start, Connected, Data changed, BaroSensor.Altitude, BaroSensor.Pressure, BaroSensor.Temperature
2013-12-08, 18:34:34.527, 0.482, 1, 1, -116.9787521, 102.7380066, 3.839999914
2013-12-08, 18:34:34.922, 0.877, 1, 0, -116.9787521, 102.7380066, 3.839999914
2013-12-08, 18:34:35.530, 1.485, 1, 1, -116.9787521, 102.7380066, 3.909999847
2013-12-08, 18:34:35.919, 1.874, 1, 0, -116.9787521, 102.7380066, 3.909999847
2013-12-08, 18:34:36.527, 2.482, 1, 1, -117.0633011, 102.739006, 3.970000029
2013-12-08, 18:34:36.922, 2.877, 1, 0, -117.0633011, 102.739006, 3.970000029
2013-12-08, 18:34:37.530, 3.485, 1, 1, -116.4872894, 102.7320023, 4.059999943
2013-12-08, 18:34:37.922, 3.877, 1, 0, -116.4872894, 102.7320023, 4.059999943
2013-12-08, 18:34:38.531, 4.486, 1, 1, -116.4027328, 102.7310028, 4.119999886
2013-12-08, 18:34:38.919, 4.874, 1, 0, -116.4027328, 102.7310028, 4.119999886
2013-12-08, 18:34:39.532, 5.487, 1, 1, -116.3234634, 102.7300034, 4.179999828
2013-12-08, 18:34:39.925, 5.88, 1, 0, -116.3234634, 102.7300034, 4.179999828
2013-12-08, 18:34:40.531, 6.486, 1, 1, -115.9112701, 102.7250061, 4.259999752
2013-12-08, 18:34:40.926, 6.881, 1, 0, -115.9112701, 102.7250061, 4.259999752
2013-12-08, 18:34:41.532, 7.487, 1, 1, -116.6511078, 102.7340012, 4.329999924
2013-12-08, 18:34:41.923, 7.878, 1, 0, -116.6511078, 102.7340012, 4.329999924
2013-12-08, 18:34:42.533, 8.488, 1, 1, -115.8267212, 102.7240067, 4.400000095
2013-12-08, 18:34:42.923, 8.878, 1, 0, -115.8267212, 102.7240067, 4.400000095
2013-12-08, 18:34:43.534, 9.489, 1, 1, -115.4990768, 102.7200012, 4.460000038
2013-12-08, 18:34:43.926, 9.881, 1, 0, -115.4990768, 102.7200012, 4.460000038
2013-12-08, 18:34:44.531, 10.486, 1, 1, -115.5783463, 102.7210083, 4.539999962
2013-12-08, 18:34:44.923, 10.878, 1, 0, -115.5783463, 102.7210083, 4.539999962
2013-12-08, 18:34:45.532, 11.487, 1, 1, -115.3352585, 102.7180023, 4.610000134
2013-12-08, 18:34:45.924, 11.879, 1, 0, -115.3352585, 102.7180023, 4.610000134
2013-12-08, 18:34:46.531, 12.486, 1, 1, -115.7474518, 102.7230072, 4.679999828
2013-12-08, 18:34:46.926, 12.881, 1, 0, -115.7474518, 102.7230072, 4.679999828
2013-12-08, 18:34:47.531, 13.486, 1, 1, -115.5783463, 102.7210083, 4.739999771
2013-12-08, 18:34:47.923, 13.878, 1, 0, -115.5783463, 102.7210083, 4.739999771
2013-12-08, 18:34:48.531, 14.486, 1, 1, -115.5783463, 102.7210083, 4.799999714
2013-12-08, 18:34:48.926, 14.881, 1, 0, -115.5783463, 102.7210083, 4.799999714
2013-12-08, 18:34:49.533, 15.488, 1, 1, -115.7474518, 102.7230072, 4.880000114
2013-12-08, 18:34:49.926, 15.881, 1, 0, -115.7474518, 102.7230072, 4.880000114
2013-12-08, 18:34:50.531, 16.486, 1, 1, -115.6628952, 102.7220078, 4.940000057
2013-12-08, 18:34:50.926, 16.881, 1, 0, -115.6628952, 102.7220078, 4.940000057
2013-12-08, 18:34:51.534, 17.489, 1, 1, -114.5954208, 102.7090073, 5.009999752
2013-12-08, 18:34:51.926, 17.881, 1, 0, -114.5954208, 102.7090073, 5.009999752
2013-12-08, 18:34:52.531, 18.486, 1, 1, -115.3352585, 102.7180023, 5.089999676
