date, Time, Sec since start, Connected, Data changed, BaroSensor.Altitude, BaroSensor.Pressure, BaroSensor.Temperature
2013-12-31, 20:05:36.728, 0.443, 1, 1, 239.342453, 98.48300171, 4.599999905
2013-12-31, 20:05:36.798, 0.513, 1, 1, 239.1707001, 98.48500824, 4.769999981
2013-12-31, 20:05:37.793, 1.508, 1, 1, 237.8944855, 98.50000763, 5.710000038
2013-12-31, 20:05:38.797, 2.512, 1, 1, 238.1507874, 98.49700165, 5.929999828
2013-12-31, 20:05:39.803, 3.518, 1, 1, 238.4044495, 98.4940033, 6.089999676
2013-12-31, 20:05:40.788, 4.503, 1, 1, 238.5762024, 98.49200439, 6.25
2013-12-31, 20:05:41.784, 5.499, 1, 1, 238.7453003, 98.49000549, 6.420000076
2013-12-31, 20:05:42.788, 6.503, 1, 1, 239.0016022, 98.48700714, 6.579999924
2013-12-31, 20:05:43.781, 7.496, 1, 1, 239.2579041, 98.48400116, 6.739999771
2013-12-31, 20:05:44.785, 8.5, 1, 1, 239.5987549, 98.48000336, 6.879999638
2013-12-31, 20:05:45.785, 9.5, 1, 1, 239.767868, 98.47800446, 7.069999695
2013-12-31, 20:05:46.778, 10.493, 1, 1, 240.0241547, 98.4750061, 7.199999809
2013-12-31, 20:05:47.785, 11.5, 1, 1, 240.1087189, 98.47400665, 7.369999886
2013-12-31, 20:05:48.778, 12.493, 1, 1, 240.3650208, 98.4710083, 7.5
2013-12-31, 20:05:49.779, 13.494, 1, 1, 240.3650208, 98.4710083, 7.649999619
2013-12-31, 20:05:50.793, 14.508, 1, 1, 240.6213226, 98.46800232, 7.789999962
2013-12-31, 20:05:51.777, 15.492, 1, 1, 240.7904205, 98.46600342, 7.960000038
2013-12-31, 20:05:52.768, 16.483, 1, 1, 240.7904205, 98.46600342, 8.090000153
2013-12-31, 20:05:53.771, 17.486, 1, 1, 241.3003845, 98.46000671, 8.25
2013-12-31, 20:05:54.768, 18.483, 1, 1, 241.2158203, 98.46100616, 8.38999939
2013-12-31, 20:05:55.765, 19.48, 1, 1, 241.3003845, 98.46000671, 8.550000191
2013-12-31, 20:05:56.758, 20.473, 1, 1, 241.5566864, 98.45700836, 8.670000076
2013-12-31, 20:05:57.764, 21.479, 1, 1, 241.984726, 98.45200348, 8.829999924
2013-12-31, 20:05:58.762, 22.477, 1, 1, 241.984726, 98.45200348, 8.949999809
2013-12-31, 20:05:59.756, 23.471, 1, 1, 242.2383881, 98.44900513, 9.099999428
2013-12-31, 20:06:00.756, 24.471, 1, 1, 242.3255768, 98.44800568, 9.260000229
2013-12-31, 20:06:01.752, 25.467, 1, 1, 242.3255768, 98.44800568, 9.369999886
2013-12-31, 20:06:02.758, 26.473, 1, 1, 242.4946899, 98.44600677, 9.510000229
2013-12-31, 20:06:03.750, 27.465, 1, 1, 242.5792389, 98.44500732, 9.619999886
2013-12-31, 20:06:04.754, 28.469, 1, 1, 242.9200897, 98.44100189, 9.75
2013-12-31, 20:06:05.746, 29.461, 1, 1, 243.0918427, 98.43900299, 9.880000114
2013-12-31, 20:06:06.749, 30.464, 1, 1, 243.1763916, 98.43800354, 9.989999771
2013-12-31, 20:06:07.742, 31.457, 1, 1, 243.0918427, 98.43900299, 10.10999966
2013-12-31, 20:06:08.742, 32.457, 1, 1, 243.3481445, 98.43600464, 10.25
2013-12-31, 20:06:09.747, 33.462, 1, 1, 243.4326935, 98.43500519, 10.34999943
2013-12-31, 20:06:10.738, 34.453, 1, 1, 243.5172424, 98.43400574, 10.46000004
2013-12-31, 20:06:11.734, 35.449, 1, 1, 243.6889954, 98.43200684, 10.59999943
2013-12-31, 20:06:12.734, 36.449, 1, 1, 243.7735443, 98.43100739, 10.69999981
2013-12-31, 20:06:13.734, 37.449, 1, 1, 244.0298462, 98.4280014, 10.80999947
2013-12-31, 20:06:14.736, 38.451, 1, 1, 244.1989594, 98.4260025, 10.96000004
2013-12-31, 20:06:15.730, 39.445, 1, 1, 244.1143951, 98.42700195, 11.05000019
2013-12-31, 20:06:16.727, 40.442, 1, 1, 244.370697, 98.4240036, 11.17000008
2013-12-31, 20:06:17.725, 41.44, 1, 1, 244.370697, 98.4240036, 11.28999996
2013-12-31, 20:06:18.726, 42.441, 1, 1, 244.4552612, 98.42300415, 11.40999985
2013-12-31, 20:06:19.723, 43.438, 1, 1, 244.7115479, 98.4200058, 11.48999977
2013-12-31, 20:06:20.725, 44.44, 1, 1, 244.4552612, 98.42300415, 11.59999943
2013-12-31, 20:06:21.717, 45.432, 1, 1, 244.7115479, 98.4200058, 11.72999954
2013-12-31, 20:06:22.724, 46.439, 1, 1, 244.880661, 98.4180069, 11.84000015
2013-12-31, 20:06:23.718, 47.433, 1, 1, 244.96521, 98.41700745, 11.92000008
2013-12-31, 20:06:24.716, 48.431, 1, 1, 245.0524139, 98.416008, 12.0199995
2013-12-31, 20:06:25.713, 49.428, 1, 1, 245.2215118, 98.41400146, 12.11999989
2013-12-31, 20:06:26.721, 50.436, 1, 1, 245.2215118, 98.41400146, 12.23999977
2013-12-31, 20:06:27.713, 51.428, 1, 1, 245.3932648, 98.41200256, 12.31999969
2013-12-31, 20:06:28.709, 52.424, 1, 1, 245.5623627, 98.41000366, 12.42000008
2013-12-31, 20:06:29.705, 53.42, 1, 1, 245.5623627, 98.41000366, 12.50999928
2013-12-31, 20:06:30.705, 54.42, 1, 1, 245.4778137, 98.41100311, 12.61999989
2013-12-31, 20:06:31.705, 55.42, 1, 1, 245.6495667, 98.40900421, 12.71999931
2013-12-31, 20:06:32.702, 56.417, 1, 1, 245.9032135, 98.40600586, 12.78999996
2013-12-31, 20:06:33.703, 57.418, 1, 1, 245.9032135, 98.40600586, 12.88999939
2013-12-31, 20:06:34.708, 58.423, 1, 1, 245.9032135, 98.40600586, 12.96000004
2013-12-31, 20:06:35.697, 59.412, 1, 1, 246.4158173, 98.40000153, 13.06999969
2013-12-31, 20:06:36.697, 60.412, 1, 1, 246.3312683, 98.40100098, 13.14999962
2013-12-31, 20:06:37.695, 61.41, 1, 1, 246.2440796, 98.40200806, 13.25
2013-12-31, 20:06:38.703, 62.418, 1, 1, 246.4158173, 98.40000153, 13.29999924
2013-12-31, 20:06:39.695, 63.41, 1, 1, 246.6721191, 98.39700317, 13.39999962
2013-12-31, 20:06:40.689, 64.404, 1, 1, 246.5875702, 98.39800262, 13.46999931
2013-12-31, 20:06:41.689, 65.404, 1, 1, 246.5003815, 98.39900208, 13.56999969
2013-12-31, 20:06:42.685, 66.4, 1, 1, 246.6721191, 98.39700317, 13.65999985
2013-12-31, 20:06:43.687, 67.402, 1, 1, 246.7566681, 98.39600372, 13.72999954
2013-12-31, 20:06:44.683, 68.398, 1, 1, 246.7566681, 98.39600372, 13.78999996
2013-12-31, 20:06:45.690, 69.405, 1, 1, 246.928421, 98.39400482, 13.86999989
2013-12-31, 20:06:46.690, 70.405, 1, 1, 246.928421, 98.39400482, 13.96000004
2013-12-31, 20:06:47.676, 71.391, 1, 1, 247.0975342, 98.39200592, 14.00999928
2013-12-31, 20:06:48.683, 72.398, 1, 1, 247.0975342, 98.39200592, 14.09000015
2013-12-31, 20:06:49.674, 73.389, 1, 1, 247.2692719, 98.39000702, 14.17999935
2013-12-31, 20:06:50.674, 74.389, 1, 1, 247.1820831, 98.39100647, 14.2699995
2013-12-31, 20:06:51.675, 75.39, 1, 1, 247.438385, 98.38800812, 14.32999992
2013-12-31, 20:06:52.676, 76.391, 1, 1, 247.3538361, 98.38900757, 14.42000008
2013-12-31, 20:06:53.675, 77.39, 1, 1, 247.3538361, 98.38900757, 14.46999931
2013-12-31, 20:06:54.668, 78.383, 1, 1, 247.5255737, 98.38700104, 14.52999973
2013-12-31, 20:06:55.668, 79.383, 1, 1, 247.6101227, 98.38600159, 14.5899992
2013-12-31, 20:06:56.664, 80.379, 1, 1, 247.7792358, 98.38400269, 14.67999935
2013-12-31, 20:06:57.666, 81.381, 1, 1, 247.6101227, 98.38600159, 14.75
2013-12-31, 20:06:58.660, 82.375, 1, 1, 247.7792358, 98.38400269, 14.80999947
2013-12-31, 20:06:59.657, 83.372, 1, 1, 247.8664246, 98.38300323, 14.88000011
2013-12-31, 20:07:00.656, 84.371, 1, 1, 247.9509888, 98.38200378, 14.96000004
2013-12-31, 20:07:01.656, 85.371, 1, 1, 248.1200867, 98.38000488, 15.03999996
2013-12-31, 20:07:02.658, 86.373, 1, 1, 248.1200867, 98.38000488, 15.11999989
2013-12-31, 20:07:03.652, 87.367, 1, 1, 248.2918396, 98.37800598, 15.17999935
2013-12-31, 20:07:04.652, 88.367, 1, 1, 248.2072906, 98.37900543, 15.25
2013-12-31, 20:07:05.652, 89.367, 1, 1, 248.1200867, 98.38000488, 15.31999969
2013-12-31, 20:07:06.648, 90.363, 1, 1, 248.2918396, 98.37800598, 15.38999939
2013-12-31, 20:07:07.648, 91.363, 1, 1, 248.2918396, 98.37800598, 15.44999981
2013-12-31, 20:07:08.644, 92.359, 1, 1, 248.3763885, 98.37700653, 15.5199995
2013-12-31, 20:07:09.647, 93.362, 1, 1, 248.4609375, 98.37600708, 15.57999992
2013-12-31, 20:07:10.640, 94.355, 1, 1, 248.4609375, 98.37600708, 15.64999962
2013-12-31, 20:07:11.640, 95.355, 1, 1, 248.5481415, 98.37500763, 15.71999931
2013-12-31, 20:07:12.636, 96.351, 1, 1, 248.6326904, 98.37400818, 15.7699995
2013-12-31, 20:07:13.636, 97.351, 1, 1, 248.7172394, 98.3730011, 15.82999992
2013-12-31, 20:07:14.634, 98.349, 1, 1, 248.8044434, 98.37200165, 15.90999985
2013-12-31, 20:07:15.640, 99.355, 1, 1, 248.7172394, 98.3730011, 15.96999931
2013-12-31, 20:07:16.634, 100.349, 1, 1, 248.7172394, 98.3730011, 16.02999878
2013-12-31, 20:07:17.633, 101.348, 1, 1, 248.9735413, 98.37000275, 16.09000015
2013-12-31, 20:07:18.631, 102.346, 1, 1, 248.9735413, 98.37000275, 16.14999962
2013-12-31, 20:07:19.628, 103.343, 1, 1, 248.9735413, 98.37000275, 16.21999931
2013-12-31, 20:07:20.625, 104.34, 1, 1, 249.0607452, 98.3690033, 16.28999901
2013-12-31, 20:07:21.623, 105.338, 1, 1, 248.9735413, 98.37000275, 16.34000015
2013-12-31, 20:07:22.619, 106.334, 1, 1, 249.1452942, 98.36800385, 16.40999985
2013-12-31, 20:07:23.620, 107.335, 1, 1, 249.2298431, 98.36700439, 16.45999908
2013-12-31, 20:07:24.619, 108.334, 1, 1, 249.1452942, 98.36800385, 16.52000046
2013-12-31, 20:07:25.624, 109.339, 1, 1, 249.2298431, 98.36700439, 16.59000015
2013-12-31, 20:07:26.626, 110.341, 1, 1, 249.486145, 98.36400604, 16.64999962
2013-12-31, 20:07:27.612, 111.327, 1, 1, 249.486145, 98.36400604, 16.69999886
2013-12-31, 20:07:28.612, 112.327, 1, 1, 249.3143921, 98.36600494, 16.76000023
2013-12-31, 20:07:29.607, 113.322, 1, 1, 249.570694, 98.36300659, 16.77999878
2013-12-31, 20:07:30.611, 114.326, 1, 1, 249.570694, 98.36300659, 16.82999992
2013-12-31, 20:07:31.607, 115.322, 1, 1, 249.570694, 98.36300659, 16.87999916
2013-12-31, 20:07:32.603, 116.318, 1, 1, 249.996109, 98.35800171, 16.95999908
2013-12-31, 20:07:33.603, 117.318, 1, 1, 249.6552429, 98.36200714, 17.02000046
2013-12-31, 20:07:34.599, 118.314, 1, 1, 249.570694, 98.36300659, 17.06999969
2013-12-31, 20:07:35.604, 119.319, 1, 1, 249.9115448, 98.35900116, 17.1099987
2013-12-31, 20:07:36.605, 120.32, 1, 1, 249.7398071, 98.36100769, 17.18000031
2013-12-31, 20:07:37.595, 121.31, 1, 1, 249.7398071, 98.36100769, 17.23999977
2013-12-31, 20:07:38.595, 122.31, 1, 1, 249.996109, 98.35800171, 17.30999947
2013-12-31, 20:07:39.591, 123.306, 1, 1, 249.996109, 98.35800171, 17.36999893
2013-12-31, 20:07:40.591, 124.306, 1, 1, 249.996109, 98.35800171, 17.42000008
2013-12-31, 20:07:41.591, 125.306, 1, 1, 249.9115448, 98.35900116, 17.46999931
2013-12-31, 20:07:42.587, 126.302, 1, 1, 250.0832977, 98.35700226, 17.52000046
2013-12-31, 20:07:43.588, 127.303, 1, 1, 250.3395996, 98.35400391, 17.55999947
2013-12-31, 20:07:44.590, 128.305, 1, 1, 250.1678467, 98.35600281, 17.61999893
2013-12-31, 20:07:45.584, 129.299, 1, 1, 250.0832977, 98.35700226, 17.67000008
2013-12-31, 20:07:46.586, 130.301, 1, 1, 250.2524109, 98.35500336, 17.70999908
2013-12-31, 20:07:47.591, 131.306, 1, 1, 250.3395996, 98.35400391, 17.76000023
2013-12-31, 20:07:48.581, 132.296, 1, 1, 250.3395996, 98.35400391, 17.85000038
2013-12-31, 20:07:49.581, 133.296, 1, 1, 250.5086975, 98.352005, 17.89999962
2013-12-31, 20:07:50.590, 134.305, 1, 1, 250.5086975, 98.352005, 17.94999886
2013-12-31, 20:07:51.575, 135.29, 1, 1, 250.3395996, 98.35400391, 17.97999954
2013-12-31, 20:07:52.572, 136.287, 1, 1, 250.5086975, 98.352005, 18.04999924
2013-12-31, 20:07:53.571, 137.286, 1, 1, 250.6804504, 98.3500061, 18.07999992
2013-12-31, 20:07:54.574, 138.289, 1, 1, 250.5086975, 98.352005, 18.13999939
2013-12-31, 20:07:55.567, 139.282, 1, 1, 250.6804504, 98.3500061, 18.20999908
2013-12-31, 20:07:56.573, 140.288, 1, 1, 250.6804504, 98.3500061, 18.26000023
2013-12-31, 20:07:57.564, 141.279, 1, 1, 250.7649994, 98.34900665, 18.29999924
2013-12-31, 20:07:58.562, 142.277, 1, 1, 250.8495636, 98.3480072, 18.34000015
2013-12-31, 20:07:59.563, 143.278, 1, 1, 251.0213013, 98.3460083, 18.37999916
2013-12-31, 20:08:00.561, 144.276, 1, 1, 251.0213013, 98.3460083, 18.42000008
2013-12-31, 20:08:01.558, 145.273, 1, 1, 250.8495636, 98.3480072, 18.47999954
2013-12-31, 20:08:02.555, 146.27, 1, 1, 250.9341125, 98.34700775, 18.53999901
2013-12-31, 20:08:03.557, 147.272, 1, 1, 251.1058655, 98.34500122, 18.59000015
2013-12-31, 20:08:04.550, 148.265, 1, 1, 251.1058655, 98.34500122, 18.61999893
2013-12-31, 20:08:05.550, 149.265, 1, 1, 251.1058655, 98.34500122, 18.67000008
2013-12-31, 20:08:06.550, 150.265, 1, 1, 251.2776031, 98.34300232, 18.70999908
2013-12-31, 20:08:07.546, 151.261, 1, 1, 250.9341125, 98.34700775, 18.77000046
2013-12-31, 20:08:08.547, 152.262, 1, 1, 251.1058655, 98.34500122, 18.82999992
2013-12-31, 20:08:09.543, 153.258, 1, 1, 250.9341125, 98.34700775, 18.8599987
2013-12-31, 20:08:10.542, 154.257, 1, 1, 251.2776031, 98.34300232, 18.88999939
2013-12-31, 20:08:11.542, 155.257, 1, 1, 251.3621521, 98.34200287, 18.94999886
2013-12-31, 20:08:12.538, 156.253, 1, 1, 251.4467163, 98.34100342, 18.98999977
2013-12-31, 20:08:13.538, 157.253, 1, 1, 251.3621521, 98.34200287, 19.04999924
2013-12-31, 20:08:14.545, 158.26, 1, 1, 251.2776031, 98.34300232, 19.09000015
2013-12-31, 20:08:15.534, 159.249, 1, 1, 251.618454, 98.33900452, 19.12999916
2013-12-31, 20:08:16.530, 160.245, 1, 1, 251.5312653, 98.34000397, 19.17000008
2013-12-31, 20:08:17.532, 161.247, 1, 1, 251.7030182, 98.33800507, 19.23999977
2013-12-31, 20:08:18.532, 162.247, 1, 1, 251.7030182, 98.33800507, 19.27999878
2013-12-31, 20:08:19.531, 163.246, 1, 1, 251.7875671, 98.33700562, 19.31999969
2013-12-31, 20:08:20.526, 164.241, 1, 1, 251.8721161, 98.33600616, 19.3599987
2013-12-31, 20:08:21.523, 165.238, 1, 1, 251.9593201, 98.33500671, 19.38999939
2013-12-31, 20:08:22.527, 166.242, 1, 1, 252.043869, 98.33400726, 19.45999908
2013-12-31, 20:08:23.522, 167.237, 1, 1, 251.9593201, 98.33500671, 19.48999977
2013-12-31, 20:08:24.518, 168.233, 1, 1, 251.9593201, 98.33500671, 19.52999878
2013-12-31, 20:08:25.518, 169.233, 1, 1, 251.9593201, 98.33500671, 19.55999947
2013-12-31, 20:08:26.515, 170.23, 1, 1, 251.9593201, 98.33500671, 19.62999916
2013-12-31, 20:08:27.516, 171.231, 1, 1, 252.043869, 98.33400726, 19.65999985
2013-12-31, 20:08:28.514, 172.229, 1, 1, 251.9593201, 98.33500671, 19.68999863
2013-12-31, 20:08:29.517, 173.232, 1, 1, 252.043869, 98.33400726, 19.73999977
2013-12-31, 20:08:30.510, 174.225, 1, 1, 252.128418, 98.33300781, 19.78999901
2013-12-31, 20:08:31.512, 175.227, 1, 1, 252.128418, 98.33300781, 19.85000038
2013-12-31, 20:08:32.509, 176.224, 1, 1, 251.9593201, 98.33500671, 19.86999893
2013-12-31, 20:08:33.506, 177.221, 1, 1, 252.3001709, 98.33100128, 19.89999962
2013-12-31, 20:08:34.502, 178.217, 1, 1, 252.128418, 98.33300781, 19.95999908
2013-12-31, 20:08:35.502, 179.217, 1, 1, 252.128418, 98.33300781, 19.98999977
2013-12-31, 20:08:36.497, 180.212, 1, 1, 252.3847198, 98.33000183, 20.02000046
2013-12-31, 20:08:37.509, 181.224, 1, 1, 252.3847198, 98.33000183, 20.06999969
2013-12-31, 20:08:38.497, 182.212, 1, 1, 252.4719086, 98.32900238, 20.11999893
2013-12-31, 20:08:39.493, 183.208, 1, 1, 252.4719086, 98.32900238, 20.13999939
2013-12-31, 20:08:40.496, 184.211, 1, 1, 252.4719086, 98.32900238, 20.18000031
2013-12-31, 20:08:41.489, 185.204, 1, 1, 252.4719086, 98.32900238, 20.22999954
2013-12-31, 20:08:42.489, 186.204, 1, 1, 252.8127747, 98.32500458, 20.27999878
2013-12-31, 20:08:43.486, 187.201, 1, 1, 252.5564728, 98.32800293, 20.29999924
2013-12-31, 20:08:44.485, 188.2, 1, 1, 252.7255707, 98.32600403, 20.34000015
2013-12-31, 20:08:45.487, 189.202, 1, 1, 252.8127747, 98.32500458, 20.39999962
2013-12-31, 20:08:46.486, 190.201, 1, 1, 252.6410217, 98.32700348, 20.43000031
2013-12-31, 20:08:47.483, 191.198, 1, 1, 252.7255707, 98.32600403, 20.46999931
2013-12-31, 20:08:48.484, 192.199, 1, 1, 252.7255707, 98.32600403, 20.51000023
2013-12-31, 20:08:49.483, 193.198, 1, 1, 252.8973236, 98.32400513, 20.55999947
2013-12-31, 20:08:50.477, 194.192, 1, 1, 252.8127747, 98.32500458, 20.57999992
2013-12-31, 20:08:51.473, 195.188, 1, 1, 252.7255707, 98.32600403, 20.6099987
2013-12-31, 20:08:52.475, 196.19, 1, 1, 252.7255707, 98.32600403, 20.68000031
