date, Time, Sec since start, Connected, Data changed, BaroSensor.Altitude, BaroSensor.Pressure, BaroSensor.Temperature
date, Time, Sec since start, Connected, Data changed, BaroSensor.Altitude, BaroSensor.Pressure, BaroSensor.Temperature
2013-12-23, 14:46:01.116, 0.261, 1, 1, 50.00239182, 100.7258301, 17.55999947
2013-12-23, 14:46:01.276, 0.421, 1, 1, 49.59548187, 100.7306976, 17.73999977
2013-12-23, 14:46:01.476, 0.621, 1, 1, 49.75401688, 100.7288208, 17.87999916
2013-12-23, 14:46:01.676, 0.821, 1, 1, 49.54527664, 100.7313232, 17.95999908
2013-12-23, 14:46:01.876, 1.021, 1, 1, 49.48979187, 100.7319565, 18.02000046
2013-12-23, 14:46:02.76, 1.221, 1, 1, 49.42373276, 100.7327728, 18.04999924
2013-12-23, 14:46:02.280, 1.425, 1, 1, 49.1912117, 100.735527, 18.09000015
2013-12-23, 14:46:02.476, 1.621, 1, 1, 49.5373497, 100.7314072, 18.1099987
2013-12-23, 14:46:02.685, 1.83, 1, 1, 49.80422211, 100.7282257, 18.13999939
2013-12-23, 14:46:02.922, 2.067, 1, 1, 49.55584717, 100.731163, 18.14999962
2013-12-23, 14:46:03.93, 2.238, 1, 1, 49.23348999, 100.7350388, 18.17000008
2013-12-23, 14:46:03.282, 2.427, 1, 1, 49.41052246, 100.7329178, 18.19000053
2013-12-23, 14:46:01.116, 0.262, 1, 1, 50.00239182, 100.7258301, 17.55999947
2013-12-23, 14:46:01.276, 0.422, 1, 1, 49.59548187, 100.7306976, 17.73999977
2013-12-23, 14:46:01.476, 0.622, 1, 1, 49.75401688, 100.7288208, 17.87999916
2013-12-23, 14:46:01.676, 0.822, 1, 1, 49.54527664, 100.7313232, 17.95999908
2013-12-23, 14:46:01.876, 1.022, 1, 1, 49.48979187, 100.7319565, 18.02000046
2013-12-23, 14:46:02.76, 1.222, 1, 1, 49.42373276, 100.7327728, 18.04999924
2013-12-23, 14:46:02.280, 1.426, 1, 1, 49.1912117, 100.735527, 18.09000015
2013-12-23, 14:46:02.475, 1.621, 1, 1, 49.5373497, 100.7314072, 18.1099987
2013-12-23, 14:46:02.684, 1.83, 1, 1, 49.80422211, 100.7282257, 18.13999939
2013-12-23, 14:46:02.922, 2.068, 1, 1, 49.55584717, 100.731163, 18.14999962
2013-12-23, 14:46:03.93, 2.239, 1, 1, 49.23348999, 100.7350388, 18.17000008
2013-12-23, 14:46:03.282, 2.428, 1, 1, 49.41052246, 100.7329178, 18.19000053
2013-12-23, 14:46:03.482, 2.628, 1, 1, 50.08958817, 100.7247925, 18.20999908
2013-12-23, 14:46:03.482, 2.627, 1, 1, 50.08958817, 100.7247925, 18.20999908
2013-12-23, 14:46:03.685, 2.831, 1, 1, 49.93369293, 100.7266769, 18.22999954
2013-12-23, 14:46:03.685, 2.83, 1, 1, 49.93369293, 100.7266769, 18.22999954
2013-12-23, 14:46:03.879, 3.025, 1, 1, 49.9363327, 100.7266159, 18.23999977
2013-12-23, 14:46:03.879, 3.024, 1, 1, 49.9363327, 100.7266159, 18.23999977
2013-12-23, 14:46:04.79, 3.225, 1, 1, 49.53470993, 100.7314377, 18.27000046
2013-12-23, 14:46:04.79, 3.224, 1, 1, 49.53470993, 100.7314377, 18.27000046
2013-12-23, 14:46:04.284, 3.43, 1, 1, 49.20442581, 100.7353745, 18.27999878
2013-12-23, 14:46:04.284, 3.429, 1, 1, 49.20442581, 100.7353745, 18.27999878
2013-12-23, 14:46:04.475, 3.621, 1, 1, 49.96804047, 100.7262573, 18.29999924
2013-12-23, 14:46:04.475, 3.62, 1, 1, 49.96804047, 100.7262573, 18.29999924
2013-12-23, 14:46:04.682, 3.828, 1, 1, 49.13572693, 100.7361984, 18.30999947
2013-12-23, 14:46:04.682, 3.827, 1, 1, 49.13572693, 100.7361984, 18.30999947
