date, Time, Sec since start, Connected, Data changed, GyroSensor.temperature, GyroSensor.x, GyroSensor.y, GyroSensor.z
2013-12-22, 17:39:18.228, 2119.82, 1, 1, -6.223529816, 0.9451220036, 0.3353656828, -2.01219511
2013-12-22, 17:39:18.341, 2119.94, 1, 1, -6.129413605, 0.8841463327, 0.1219510436, -2.042682886
2013-12-22, 17:39:18.541, 2120.14, 1, 1, -6.035293579, 1.006097555, 0.09146323055, -2.103658676
2013-12-22, 17:39:18.742, 2120.34, 1, 1, -5.941177368, 1.189024448, 0.1829266548, -2.103658676
2013-12-22, 17:39:18.941, 2120.54, 1, 1, -5.847061157, 0.9756097794, 0.2743900716, -2.073170662
2013-12-22, 17:39:19.142, 2120.74, 1, 1, -5.941177368, 0.9756097794, 0.06097545475, -1.79878056
2013-12-22, 17:39:19.341, 2120.94, 1, 1, -5.847061157, 0.9146341681, 0.1829266399, -2.225609779
2013-12-22, 17:39:19.545, 2121.14, 1, 1, -5.752941132, 0.9451220036, 0.3353656828, -2.01219511
2013-12-22, 17:39:19.741, 2121.34, 1, 1, -5.658824921, 1.006097555, 0.1524388492, -2.042682886
2013-12-22, 17:39:19.945, 2121.54, 1, 1, -5.658824921, 1.067073226, 0.3048778772, -2.01219511
2013-12-22, 17:39:20.153, 2121.75, 1, 1, -5.564704895, 1.219512224, 0.1829266697, -1.951219559
2013-12-22, 17:39:20.345, 2121.94, 1, 1, -5.564704895, 0.9146341681, 0.03048763424, -1.951219559
2013-12-22, 17:39:20.560, 2122.16, 1, 1, -5.470588684, 1.158536673, 0.243902266, -2.01219511
2013-12-22, 17:39:20.746, 2122.34, 1, 1, -5.564704895, 0.9451220036, 0.243902266, -2.103658676
2013-12-22, 17:39:20.955, 2122.55, 1, 1, -5.376472473, 0.8231707811, 0.03048762679, -2.042682886
2013-12-22, 17:39:21.151, 2122.75, 1, 1, -5.282352448, 0.9451220036, 0.1829266548, -1.981707335
2013-12-22, 17:39:21.360, 2122.96, 1, 1, -5.282352448, 0.9451220036, 0.3658534884, -2.01219511
2013-12-22, 17:39:21.546, 2123.14, 1, 1, -5.282352448, 0.8231707811, 0.1524388492, -2.01219511
2013-12-22, 17:39:21.745, 2123.34, 1, 1, -5.282352448, 0.9756097794, 0.2743900716, -1.981707335
2013-12-22, 17:39:21.945, 2123.54, 1, 1, -5.188236237, 1.158536673, 0.2134144902, -1.768292665
2013-12-22, 17:39:22.158, 2123.76, 1, 1, -5.094120026, 0.9756097794, 0.1524388343, -2.134146452
2013-12-22, 17:39:22.371, 2123.97, 1, 1, -5.094120026, 0.8536585569, 0.2439022809, -1.890244007
2013-12-22, 17:39:22.545, 2124.14, 1, 1, -5.094120026, 1.097561002, 0.2743900716, -2.195122004
2013-12-22, 17:39:22.745, 2124.34, 1, 1,  -5, 0.9451220036, 0.2134144753, -1.890244007
2013-12-22, 17:39:22.945, 2124.54, 1, 1,  -5, 1.280487776, 0.3353656828, -1.890244007
2013-12-22, 17:39:23.145, 2124.74, 1, 1, -4.905883789, 1.006097555, 0.3048778772, -1.890244007
2013-12-22, 17:39:23.345, 2124.94, 1, 1, -4.811763763, 1.036585331, 0.1219510585, -1.859756112
2013-12-22, 17:39:23.545, 2125.14, 1, 1, -4.811763763, 1.280487776, 0.3658534884, -2.01219511
2013-12-22, 17:39:23.745, 2125.34, 1, 1, -4.717647552, 1.036585331, 0.1219510585, -1.890244007
2013-12-22, 17:39:23.945, 2125.54, 1, 1, -4.717647552, 1.067073226, 0.1524388641, -1.859756112
2013-12-22, 17:39:24.145, 2125.74, 1, 1, -4.717647552, 0.9756097794, 0.2134144753, -1.829268336
2013-12-22, 17:39:34.923, 2136.52, 1, 1, -3.682353973, 1.097561002, 0.3048778772, -1.951219559
2013-12-22, 17:39:35.67, 2136.66, 1, 1, -3.588237762, 1.036585331, 0.1829266697, -1.79878056
2013-12-22, 17:39:35.267, 2136.86, 1, 1, -3.682353973, 1.067073226, 0.3353657126, -1.859756112
2013-12-22, 17:39:35.467, 2137.06, 1, 1, -3.494117737, 0.8841463327, 0.4268291295, -1.79878056
2013-12-22, 17:39:35.668, 2137.26, 1, 1, -3.494117737, 0.9451220036, 0.304877907, -1.73780489
2013-12-22, 17:39:35.867, 2137.46, 1, 1, -3.400001526, 1.128048778, 0.3963412941, -1.981707335
2013-12-22, 17:39:36.67, 2137.66, 1, 1, -3.3058815, 1.219512224, 0.2743901014, -1.768292665
