date, Time, Sec since start, Connected, Data changed, BaroSensor.Altitude, BaroSensor.Pressure, BaroSensor.Temperature
date, Time, Sec since start, Connected, Data changed, BaroSensor.Altitude, BaroSensor.Pressure, BaroSensor.Temperature
2013-12-23, 15:55:12.199, 0.302, 1, 1, 13.82966137, 101.1590042, 18.48999977
2013-12-23, 15:55:12.199, 0.301, 1, 1, 13.82966137, 101.1590042, 18.48999977
2013-12-23, 15:55:12.330, 0.433, 1, 1, 14.16258812, 101.1550064, 18.64999962
2013-12-23, 15:55:12.530, 0.633, 1, 1, 13.57864571, 101.1620026, 18.77999878
2013-12-23, 15:55:12.330, 0.432, 1, 1, 14.16258812, 101.1550064, 18.64999962
2013-12-23, 15:55:12.530, 0.632, 1, 1, 13.57864571, 101.1620026, 18.77999878
2013-12-23, 15:55:12.730, 0.833, 1, 1, 12.91279221, 101.1700058, 18.86999893
2013-12-23, 15:55:12.730, 0.832, 1, 1, 12.91279221, 101.1700058, 18.86999893
2013-12-23, 15:55:12.930, 1.033, 1, 1, 13.32762909, 101.1650085, 18.93000031
2013-12-23, 15:55:12.930, 1.032, 1, 1, 13.32762909, 101.1650085, 18.93000031
2013-12-23, 15:55:13.128, 1.231, 1, 1, 13.49673462, 101.163002, 18.95999908
2013-12-23, 15:55:13.128, 1.23, 1, 1, 13.49673462, 101.163002, 18.95999908
2013-12-23, 15:55:13.330, 1.433, 1, 1, 13.07925606, 101.1680069,  19
2013-12-23, 15:55:13.330, 1.432, 1, 1, 13.07925606, 101.1680069,  19
2013-12-23, 15:55:13.530, 1.633, 1, 1, 13.16116619, 101.1670074, 19.02000046
2013-12-23, 15:55:13.530, 1.632, 1, 1, 13.16116619, 101.1670074, 19.02000046
2013-12-23, 15:55:13.777, 1.88, 1, 1, 13.41218185, 101.1640015, 19.03999901
2013-12-23, 15:55:13.930, 2.033, 1, 1, 13.32762909, 101.1650085, 19.04999924
2013-12-23, 15:55:13.777, 1.879, 1, 1, 13.41218185, 101.1640015, 19.03999901
2013-12-23, 15:55:13.930, 2.032, 1, 1, 13.32762909, 101.1650085, 19.04999924
2013-12-23, 15:55:14.135, 2.238, 1, 1, 13.41218185, 101.1640015, 19.06999969
2013-12-23, 15:55:14.136, 2.238, 1, 1, 13.41218185, 101.1640015, 19.06999969
2013-12-23, 15:55:14.334, 2.437, 1, 1, 13.32762909, 101.1650085, 19.09000015
2013-12-23, 15:55:14.334, 2.436, 1, 1, 13.32762909, 101.1650085, 19.09000015
2013-12-23, 15:55:14.529, 2.632, 1, 1, 13.16116619, 101.1670074, 19.10000038
2013-12-23, 15:55:14.529, 2.631, 1, 1, 13.16116619, 101.1670074, 19.10000038
2013-12-23, 15:55:14.730, 2.833, 1, 1, 13.24571896, 101.166008, 19.11999893
2013-12-23, 15:55:14.730, 2.832, 1, 1, 13.24571896, 101.166008, 19.11999893
2013-12-23, 15:55:14.930, 3.033, 1, 1, 12.99470329, 101.1690063, 19.14999962
2013-12-23, 15:55:14.930, 3.032, 1, 1, 12.99470329, 101.1690063, 19.14999962
2013-12-23, 15:55:15.130, 3.233, 1, 1, 13.41218185, 101.1640015, 19.15999985
2013-12-23, 15:55:15.130, 3.232, 1, 1, 13.41218185, 101.1640015, 19.15999985
2013-12-23, 15:55:15.329, 3.432, 1, 1, 12.91279221, 101.1700058, 19.18000031
2013-12-23, 15:55:15.329, 3.431, 1, 1, 12.91279221, 101.1700058, 19.18000031
2013-12-23, 15:55:15.529, 3.632, 1, 1, 13.32762909, 101.1650085, 19.18999863
2013-12-23, 15:55:15.529, 3.631, 1, 1, 13.32762909, 101.1650085, 19.18999863
2013-12-23, 15:55:15.728, 3.831, 1, 1, 13.16116619, 101.1670074, 19.20999908
2013-12-23, 15:55:15.728, 3.83, 1, 1, 13.16116619, 101.1670074, 19.20999908
2013-12-23, 15:55:15.928, 4.031, 1, 1, 13.16116619, 101.1670074, 19.21999931
2013-12-23, 15:55:15.928, 4.03, 1, 1, 13.16116619, 101.1670074, 19.21999931
2013-12-23, 15:55:16.130, 4.233, 1, 1, 13.32762909, 101.1650085, 19.23999977
2013-12-23, 15:55:16.130, 4.232, 1, 1, 13.32762909, 101.1650085, 19.23999977
2013-12-23, 15:55:16.330, 4.433, 1, 1, 13.07925606, 101.1680069, 19.25
2013-12-23, 15:55:16.330, 4.432, 1, 1, 13.07925606, 101.1680069, 19.25
2013-12-23, 15:55:16.529, 4.632, 1, 1, 13.16116619, 101.1670074, 19.27000046
2013-12-23, 15:55:16.529, 4.631, 1, 1, 13.16116619, 101.1670074, 19.27000046
2013-12-23, 15:55:16.728, 4.831, 1, 1, 13.66319847, 101.1610031, 19.27999878
2013-12-23, 15:55:16.728, 4.83, 1, 1, 13.66319847, 101.1610031, 19.27999878
2013-12-23, 15:55:16.928, 5.031, 1, 1, 13.32762909, 101.1650085, 19.29999924
2013-12-23, 15:55:16.928, 5.03, 1, 1, 13.32762909, 101.1650085, 19.29999924
2013-12-23, 15:55:17.130, 5.233, 1, 1, 13.66319847, 101.1610031, 19.31999969
2013-12-23, 15:55:17.130, 5.232, 1, 1, 13.66319847, 101.1610031, 19.31999969
2013-12-23, 15:55:17.329, 5.432, 1, 1, 13.41218185, 101.1640015, 19.32999992
2013-12-23, 15:55:17.330, 5.432, 1, 1, 13.41218185, 101.1640015, 19.32999992
2013-12-23, 15:55:17.530, 5.633, 1, 1, 13.66319847, 101.1610031, 19.34000015
2013-12-23, 15:55:17.530, 5.632, 1, 1, 13.66319847, 101.1610031, 19.34000015
2013-12-23, 15:55:17.730, 5.833, 1, 1, 13.32762909, 101.1650085, 19.3599987
2013-12-23, 15:55:17.730, 5.832, 1, 1, 13.32762909, 101.1650085, 19.3599987
2013-12-23, 15:55:17.928, 6.031, 1, 1, 14.07803535, 101.1560059, 19.36999893
2013-12-23, 15:55:17.928, 6.03, 1, 1, 14.07803535, 101.1560059, 19.36999893
2013-12-23, 15:55:18.130, 6.233, 1, 1, 13.41218185, 101.1640015, 19.37999916
2013-12-23, 15:55:18.130, 6.232, 1, 1, 13.41218185, 101.1640015, 19.37999916
2013-12-23, 15:55:18.330, 6.433, 1, 1, 13.57864571, 101.1620026, 19.39999962
2013-12-23, 15:55:18.330, 6.432, 1, 1, 13.57864571, 101.1620026, 19.39999962
2013-12-23, 15:55:18.530, 6.633, 1, 1, 13.91157246, 101.1580048, 19.40999985
2013-12-23, 15:55:18.530, 6.632, 1, 1, 13.91157246, 101.1580048, 19.40999985
2013-12-23, 15:55:18.730, 6.833, 1, 1, 13.7451086, 101.1600037, 19.43000031
2013-12-23, 15:55:18.730, 6.832, 1, 1, 13.7451086, 101.1600037, 19.43000031
2013-12-23, 15:55:18.928, 7.031, 1, 1, 14.24714088, 101.154007, 19.44999886
2013-12-23, 15:55:18.928, 7.03, 1, 1, 14.24714088, 101.154007, 19.44999886
2013-12-23, 15:55:19.130, 7.233, 1, 1, 13.41218185, 101.1640015, 19.45999908
2013-12-23, 15:55:19.130, 7.232, 1, 1, 13.41218185, 101.1640015, 19.45999908
2013-12-23, 15:55:19.330, 7.433, 1, 1, 13.66319847, 101.1610031, 19.47999954
2013-12-23, 15:55:19.330, 7.432, 1, 1, 13.66319847, 101.1610031, 19.47999954
2013-12-23, 15:55:19.530, 7.633, 1, 1, 13.24571896, 101.166008, 19.5
2013-12-23, 15:55:19.530, 7.632, 1, 1, 13.24571896, 101.166008, 19.5
2013-12-23, 15:55:19.730, 7.833, 1, 1, 13.82966137, 101.1590042, 19.51000023
2013-12-23, 15:55:19.730, 7.832, 1, 1, 13.82966137, 101.1590042, 19.51000023
2013-12-23, 15:55:19.930, 8.033, 1, 1, 13.66319847, 101.1610031, 19.52999878
2013-12-23, 15:55:19.930, 8.032, 1, 1, 13.66319847, 101.1610031, 19.52999878
2013-12-23, 15:55:20.128, 8.231, 1, 1, 13.7451086, 101.1600037, 19.53999901
2013-12-23, 15:55:20.128, 8.23, 1, 1, 13.7451086, 101.1600037, 19.53999901
2013-12-23, 15:55:20.330, 8.433, 1, 1, 14.58006763, 101.1500015, 19.55999947
2013-12-23, 15:55:20.330, 8.432, 1, 1, 14.58006763, 101.1500015, 19.55999947
2013-12-23, 15:55:20.530, 8.633, 1, 1, 13.82966137, 101.1590042, 19.55999947
2013-12-23, 15:55:20.530, 8.632, 1, 1, 13.82966137, 101.1590042, 19.55999947
2013-12-23, 15:55:20.730, 8.833, 1, 1, 13.82966137, 101.1590042, 19.59000015
2013-12-23, 15:55:20.730, 8.832, 1, 1, 13.82966137, 101.1590042, 19.59000015
2013-12-23, 15:55:20.930, 9.033, 1, 1, 13.49673462, 101.163002, 19.6099987
2013-12-23, 15:55:20.930, 9.032, 1, 1, 13.49673462, 101.163002, 19.6099987
2013-12-23, 15:55:21.130, 9.233, 1, 1, 13.57864571, 101.1620026, 19.61999893
2013-12-23, 15:55:21.130, 9.232, 1, 1, 13.57864571, 101.1620026, 19.61999893
2013-12-23, 15:55:21.330, 9.433, 1, 1, 13.24571896, 101.166008, 19.62999916
2013-12-23, 15:55:21.330, 9.432, 1, 1, 13.24571896, 101.166008, 19.62999916
2013-12-23, 15:55:21.529, 9.632, 1, 1, 13.57864571, 101.1620026, 19.64999962
2013-12-23, 15:55:21.529, 9.631, 1, 1, 13.57864571, 101.1620026, 19.64999962
2013-12-23, 15:55:21.728, 9.831, 1, 1, 13.57864571, 101.1620026, 19.65999985
2013-12-23, 15:55:21.728, 9.83, 1, 1, 13.57864571, 101.1620026, 19.65999985
2013-12-23, 15:55:21.930, 10.033, 1, 1, 13.66319847, 101.1610031, 19.68000031
2013-12-23, 15:55:21.930, 10.032, 1, 1, 13.66319847, 101.1610031, 19.68000031
2013-12-23, 15:55:22.130, 10.233, 1, 1, 13.66319847, 101.1610031, 19.69999886
2013-12-23, 15:55:22.130, 10.232, 1, 1, 13.66319847, 101.1610031, 19.69999886
2013-12-23, 15:55:22.330, 10.433, 1, 1, 13.82966137, 101.1590042, 19.70999908
2013-12-23, 15:55:22.330, 10.432, 1, 1, 13.82966137, 101.1590042, 19.70999908
2013-12-23, 15:55:22.530, 10.633, 1, 1, 13.41218185, 101.1640015, 19.71999931
2013-12-23, 15:55:22.530, 10.632, 1, 1, 13.41218185, 101.1640015, 19.71999931
2013-12-23, 15:55:22.728, 10.831, 1, 1, 13.66319847, 101.1610031, 19.72999954
2013-12-23, 15:55:22.728, 10.83, 1, 1, 13.66319847, 101.1610031, 19.72999954
2013-12-23, 15:55:22.930, 11.033, 1, 1, 14.16258812, 101.1550064, 19.73999977
2013-12-23, 15:55:22.930, 11.032, 1, 1, 14.16258812, 101.1550064, 19.73999977
2013-12-23, 15:55:23.129, 11.232, 1, 1, 14.07803535, 101.1560059, 19.76000023
2013-12-23, 15:55:23.130, 11.232, 1, 1, 14.07803535, 101.1560059, 19.76000023
2013-12-23, 15:55:23.330, 11.433, 1, 1, 13.82966137, 101.1590042, 19.77999878
2013-12-23, 15:55:23.330, 11.432, 1, 1, 13.82966137, 101.1590042, 19.77999878
2013-12-23, 15:55:23.529, 11.632, 1, 1, 13.57864571, 101.1620026, 19.78999901
2013-12-23, 15:55:23.529, 11.631, 1, 1, 13.57864571, 101.1620026, 19.78999901
2013-12-23, 15:55:23.729, 11.832, 1, 1, 13.66319847, 101.1610031, 19.79999924
2013-12-23, 15:55:23.729, 11.831, 1, 1, 13.66319847, 101.1610031, 19.79999924
2013-12-23, 15:55:23.928, 12.031, 1, 1, 13.91157246, 101.1580048, 19.81999969
2013-12-23, 15:55:23.928, 12.03, 1, 1, 13.91157246, 101.1580048, 19.81999969
2013-12-23, 15:55:24.129, 12.232, 1, 1, 13.32762909, 101.1650085, 19.82999992
2013-12-23, 15:55:24.129, 12.231, 1, 1, 13.32762909, 101.1650085, 19.82999992
2013-12-23, 15:55:24.330, 12.433, 1, 1, 14.16258812, 101.1550064, 19.85000038
2013-12-23, 15:55:24.330, 12.432, 1, 1, 14.16258812, 101.1550064, 19.85000038
2013-12-23, 15:55:24.529, 12.632, 1, 1, 13.41218185, 101.1640015, 19.8599987
2013-12-23, 15:55:24.529, 12.631, 1, 1, 13.41218185, 101.1640015, 19.8599987
2013-12-23, 15:55:24.729, 12.832, 1, 1, 14.82844162, 101.1470032, 19.86999893
